clbid,credits,crsid,department,enrolled,instructors,level,max,name,number,pn,prerequisites,revisions,semester,status,term,type,year
0000105096,1.0,0000000233,CLASS,0,['Staff'],200,999,Academic Internship,294,True,False,"[{'_updated': '2016-04-25T21:43:45.477629+00:00', 'locations': []}, {'_updated': '2018-07-12T16:51:36.216310+00:00', 'enroll': None, 'max': None}, {'_updated': '2018-08-07T14:48:29.526248+00:00', 'enroll': '0', 'max': '999'}]",1,O,20161,Research,2016
0000105097,1.0,0000000235,CLASS,0,['Staff'],300,999,Academic Internship,394,True,False,"[{'_updated': '2016-04-25T21:43:45.489233+00:00', 'locations': []}, {'_updated': '2018-07-12T16:51:36.216992+00:00', 'enroll': None, 'max': None}, {'_updated': '2018-08-07T14:48:29.527070+00:00', 'enroll': '0', 'max': '999'}]",1,O,20161,Research,2016
0000105098,1.0,0000000248,CHIN,0,['Staff'],200,999,Academic Internship,294,True,False,"[{'_updated': '2016-04-25T21:43:45.490793+00:00', 'locations': [], 'status': 'O'}, {'_updated': '2018-07-12T16:51:36.217673+00:00', 'enroll': None, 'max': None}, {'_updated': '2018-08-07T14:48:29.527913+00:00', 'enroll': '0', 'max': '999'}]",1,C,20161,Research,2016
0000105099,1.0,0000000251,CHIN,0,['Staff'],300,999,Academic Internship,394,True,False,"[{'_updated': '2016-04-25T21:43:45.491949+00:00', 'locations': [], 'status': 'O'}, {'_updated': '2018-07-12T16:51:36.218347+00:00', 'enroll': None, 'max': None}, {'_updated': '2018-08-07T14:48:29.528773+00:00', 'enroll': '0', 'max': '999'}]",1,C,20161,Research,2016
0000105100,1.0,0000000276,ECON,0,['Staff'],200,999,Academic Internship,294,True,False,"[{'_updated': '2016-04-25T21:43:45.492920+00:00', 'locations': [], 'status': 'O'}, {'_updated': '2018-07-12T16:51:36.219053+00:00', 'enroll': None, 'max': None}, {'_updated': '2018-08-07T14:48:29.529618+00:00', 'enroll': '0', 'max': '999'}]",1,C,20161,Research,2016
0000105101,1.0,0000000284,ECON,0,['Staff'],300,999,Academic Internship,394,True,False,"[{'_updated': '2016-04-25T21:43:45.494084+00:00', 'locations': [], 'status': 'O'}, {'_updated': '2018-07-12T16:51:36.219731+00:00', 'enroll': None, 'max': None}, {'_updated': '2018-08-07T14:48:29.530460+00:00', 'enroll': '0', 'max': '999'}]",1,C,20161,Research,2016
0000105102,1.0,0000000299,CSCI,['This is an intermediate-level version of CSCI 394.'],0,['Staff'],200,999,Academic Internship,294,True,False,"[{'_updated': '2016-04-25T21:43:45.495513+00:00', 'locations': [], 'status': 'O'}, {'_updated': '2018-07-12T16:51:36.220428+00:00', 'enroll': None, 'max': None}, {'_updated': '2018-08-07T14:48:29.531318+00:00', 'enroll': '0', 'max': '999'}]",1,C,20161,Research,2016
0000105103,1.0,0000000306,CSCI,"['Students gain experience in computer-industry positions. Recent projects have included contributions to team programming, documentation, business applications of computing, modifications of large proprietary code bases using industry-standard software frameworks, test-driven development, creating mobile-computing interfaces for existing software systems, and improving security of company websites. Internship experiences (whether for credit or not) are strongly encouraged for anyone considering a career in computing.']",0,['Staff'],300,999,Academic Internship,394,True,False,"[{'_updated': '2016-04-25T21:43:45.496511+00:00', 'locations': [], 'status': 'O'}, {'_updated': '2017-05-30T17:10:28.291298+00:00', 'description': 'Students gain experience in computer-industry positions. Projects have included contributions toteam programming, implementation of solid modeling (NURBS), documentation, business applications of computing, and applications of computer graphics in medical research. Internshipexperiences (whether for credit or not) are strongly encouraged for anyone considering acareer in computing.'}, {'_updated': '2018-07-12T16:51:36.221153+00:00', 'enroll': None, 'max': None}, {'_updated': '2018-08-07T14:48:29.532219+00:00', 'enroll': '0', 'max': '999'}]",1,C,20161,Research,2016
0000105104,1.0,0000000313,EDUC,0,0/0,['Staff'],200,999,Academic Internship,294,True,False,"[{'_updated': '2016-04-25T21:43:45.497391+00:00', 'locations': [], 'status': 'O'}, {'_updated': '2018-07-12T16:51:36.221857+00:00', 'enroll': None, 'max': None}, {'_updated': '2018-08-07T14:48:29.533086+00:00', 'enroll': '0', 'max': '999'}, {'_updated': '2018-11-02T04:18:36.037940+00:00', 'firstyear': None, 'sophomore': None}]",1,0/0,C,20161,Research,2016
0000105105,0.5,0000000344,EDUC,0,0/0,['Staff'],300,999,Academic Internship,394,True,False,"[{'_updated': '2016-04-25T21:43:45.498549+00:00', 'locations': [], 'status': 'O'}, {'_updated': '2018-07-12T16:51:36.222535+00:00', 'enroll': None, 'max': None}, {'_updated': '2018-08-07T14:48:29.533910+00:00', 'enroll': '0', 'max': '999'}, {'_updated': '2018-11-02T04:18:36.039086+00:00', 'firstyear': None, 'sophomore': None}]",1,0/0,C,20161,Research,2016
0000105106,1.0,0000000433,ENGL,1,['Carlos Gallego'],200,999,Academic Internship,294,True,False,"[{'_updated': '2016-04-25T21:43:45.499937+00:00', 'locations': [], 'status': 'O'}, {'_updated': '2016-10-27T11:31:23.133225+00:00', 'credits': 1.0, 'instructors': ['Staff']}, {'_updated': '2017-05-30T15:53:05.688689+00:00', 'credits': 0.5}, {'_updated': '2018-07-12T16:51:36.223282+00:00', 'enroll': None, 'max': None}, {'_updated': '2018-08-07T14:48:29.534747+00:00', 'enroll': '1', 'max': '999'}]",1,C,20161,Research,2016
0000105107,1.0,0000000449,ENGL,0,['Staff'],300,999,Academic Internship,394,True,False,"[{'_updated': '2016-04-25T21:43:45.501614+00:00', 'locations': [], 'status': 'O'}, {'_updated': '2018-07-12T16:51:36.223991+00:00', 'enroll': None, 'max': None}, {'_updated': '2018-08-07T14:48:29.535637+00:00', 'enroll': '0', 'max': '999'}]",1,C,20161,Research,2016
0000105108,1.0,0000000464,ENVST,0,['Staff'],200,999,Academic Internship,294,True,False,"[{'_updated': '2016-04-25T21:43:45.503427+00:00', 'locations': [], 'status': 'O'}, {'_updated': '2018-07-12T16:51:36.224662+00:00', 'enroll': None, 'max': None}, {'_updated': '2018-08-07T14:48:29.536450+00:00', 'enroll': '0', 'max': '999'}]",1,C,20161,Research,2016
0000105109,1.0,0000000466,ENVST,0,['Staff'],300,999,Academic Internship,394,True,False,"[{'_updated': '2016-04-25T21:43:45.504910+00:00', 'locations': [], 'status': 'O'}, {'_updated': '2018-07-12T16:51:36.225335+00:00', 'enroll': None, 'max': None}, {'_updated': '2018-08-07T14:48:29.537273+00:00', 'enroll': '0', 'max': '999'}]",1,C,20161,Research,2016
0000105110,1.0,0000000490,FREN,0,['Staff'],200,999,Academic Internship,294,True,False,"[{'_updated': '2016-04-25T21:43:45.506266+00:00', 'locations': [], 'status': 'O'}, {'_updated': '2018-07-12T16:51:36.226010+00:00', 'enroll': None, 'max': None}, {'_updated': '2018-08-07T14:48:29.538111+00:00', 'enroll': '0', 'max': '999'}]",1,C,20161,Research,2016
0000105111,1.0,0000000494,FREN,0,['Staff'],300,999,Academic Internship,394,True,False,"[{'_updated': '2016-04-25T21:43:45.507391+00:00', 'locations': [], 'status': 'O'}, {'_updated': '2018-07-12T16:51:36.226718+00:00', 'enroll': None, 'max': None}, {'_updated': '2018-08-07T14:48:29.538957+00:00', 'enroll': '0', 'max': '999'}]",1,C,20161,Research,2016
0000105112,1.0,0000000522,GERM,"['Students spend four weeks during Interim or summer in an individually selected German or Austrian workplace. Opportunities include work in health care, communications, and manufacturing as well as non-profit organizations, libraries, businesses, laboratories, offices, and churches. Assignment of position varies with availability in host institutions. Maybe counted toward German major or German studies concentration. Prerequisite: at least one 250-level course.']",0,['Staff'],200,999,Academic Internship,294,True,at least one 250-level course.,"[{'_updated': '2016-04-25T21:43:45.508342+00:00', 'locations': [], 'status': 'O'}, {'_updated': '2018-02-03T00:01:54.883500+00:00', 'prerequisites': 'Prerequisite: at least one 250-level course.'}, {'_updated': '2018-07-12T16:51:36.227431+00:00', 'enroll': None, 'max': None}, {'_updated': '2018-08-07T14:48:29.539841+00:00', 'enroll': '0', 'max': '999'}]",1,C,20161,Research,2016
0000105113,1.0,0000000529,GERM,"['Students spend four weeks during Interim or summer in the German or Austrian workplace. Opportunities include working in health care, communications, and manufacturing as well as non-profit organizations, libraries, businesses, laboratories, offices, and churches. Assignment of position varies with availability of host institutions. May be counted toward German major or German studies concentration. Prerequisite: at least one 270-level course.']",0,['Staff'],300,999,Academic Internship,394,True,at least one 270-level course.,"[{'_updated': '2016-04-25T21:43:45.509351+00:00', 'locations': [], 'status': 'O'}, {'_updated': '2018-02-03T00:01:54.884569+00:00', 'prerequisites': 'Prerequisite: at least one 270-level course.'}, {'_updated': '2018-07-12T16:51:36.228153+00:00', 'enroll': None, 'max': None}, {'_updated': '2018-08-07T14:48:29.540751+00:00', 'enroll': '0', 'max': '999'}]",1,C,20161,Research,2016
0000105114,1.0,0000000543,GREEK,0,['Staff'],200,999,Academic Internship,294,True,False,"[{'_updated': '2016-04-25T21:43:45.510319+00:00', 'locations': [], 'status': 'O'}, {'_updated': '2018-07-12T16:51:36.228846+00:00', 'enroll': None, 'max': None}, {'_updated': '2018-08-07T14:48:29.541702+00:00', 'enroll': '0', 'max': '999'}]",1,C,20161,Research,2016
0000105115,1.0,0000000550,GREEK,0,['Staff'],300,999,Academic Internship,394,True,False,"[{'_updated': '2016-04-25T21:43:45.511466+00:00', 'locations': [], 'status': 'O'}, {'_updated': '2018-07-12T16:51:36.229516+00:00', 'enroll': None, 'max': None}, {'_updated': '2018-08-07T14:48:29.542560+00:00', 'enroll': '0', 'max': '999'}]",1,C,20161,Academic Inernship,Research,2016
0000105116,1.0,0000000624,HIST,0,['Staff'],200,999,Academic Internship,294,True,False,"[{'_updated': '2016-04-25T21:43:45.512495+00:00', 'locations': [], 'status': 'O'}, {'_updated': '2018-07-12T16:51:36.230188+00:00', 'enroll': None, 'max': None}, {'_updated': '2018-08-07T14:48:29.543368+00:00', 'enroll': '0', 'max': '999'}]",1,C,20161,Research,2016
0000105117,1.0,0000000640,HIST,0,['Staff'],300,999,Academic Internship,394,True,False,"[{'_updated': '2016-04-25T21:43:45.545302+00:00', 'locations': [], 'status': 'O'}, {'_updated': '2018-07-12T16:51:36.230917+00:00', 'enroll': None, 'max': None}, {'_updated': '2018-08-07T14:48:29.544157+00:00', 'enroll': '0', 'max': '999'}]",1,C,20161,Research,2016
0000105118,0.25,0000000653,FAMST,1,['Erica Kanewischer'],200,999,Academic Internship,294,True,False,"[{'_updated': '2016-04-25T21:43:45.546515+00:00', 'locations': [], 'status': 'O'}, {'_updated': '2016-09-28T06:12:30.028654+00:00', 'credits': 0.5, 'instructors': ['Staff']}, {'_updated': '2016-10-21T13:14:58.600825+00:00', 'instructors': ['Kanewischer Erica']}, {'_updated': '2018-07-12T16:51:36.231594+00:00', 'enroll': None, 'max': None}, {'_updated': '2018-08-07T14:48:29.544928+00:00', 'enroll': '1', 'max': '999'}]",1,C,20161,Research,2016
0000105119,1.0,0000000656,FAMST,0,['Staff'],300,999,Academic Internship,394,True,False,"[{'_updated': '2016-04-25T21:43:45.547467+00:00', 'locations': [], 'status': 'O'}, {'_updated': '2018-07-12T16:51:36.233964+00:00', 'enroll': None, 'max': None}, {'_updated': '2018-08-07T14:48:29.548006+00:00', 'enroll': '0', 'max': '999'}]",1,C,20161,Research,2016
0000105120,1.0,0000000668,JAPAN,0,['Staff'],200,999,Academic Internship,294,True,False,"[{'_updated': '2016-04-25T21:43:45.548523+00:00', 'locations': [], 'status': 'O'}, {'_updated': '2018-07-12T16:51:36.234685+00:00', 'enroll': None, 'max': None}, {'_updated': '2018-08-07T14:48:29.548799+00:00', 'enroll': '0', 'max': '999'}]",1,C,20161,Research,2016
0000105121,1.0,0000000670,JAPAN,0,['Staff'],300,999,Academic Internship,394,True,False,"[{'_updated': '2016-04-25T21:43:45.549549+00:00', 'locations': [], 'status': 'O'}, {'_updated': '2018-07-12T16:51:36.235376+00:00', 'enroll': None, 'max': None}, {'_updated': '2018-08-07T14:48:29.549579+00:00', 'enroll': '0', 'max': '999'}]",1,C,20161,Research,2016
0000105122,1.0,0000000686,IS,0,['Staff'],200,999,Academic Internship,294,True,False,"[{'_updated': '2016-04-25T21:43:45.550438+00:00', 'locations': []}, {'_updated': '2018-07-12T16:51:36.236058+00:00', 'enroll': None, 'max': None}, {'_updated': '2018-08-07T14:48:29.550356+00:00', 'enroll': '0', 'max': '999'}]",1,O,20161,Research,2016
0000105123,1.0,0000000691,IS,0,['Staff'],300,999,Academic Internship,394,True,False,"[{'_updated': '2016-04-25T21:43:45.551309+00:00', 'locations': []}, {'_updated': '2018-07-12T16:51:36.236748+00:00', 'enroll': None, 'max': None}, {'_updated': '2018-08-07T14:48:29.551109+00:00', 'enroll': '0', 'max': '999'}]",1,O,20161,Research,2016
0000105124,1.0,0000000707,ID,0,['Staff'],200,999,Academic Internship,294,True,False,"[{'_updated': '2016-04-25T21:43:45.552172+00:00', 'locations': [], 'status': 'O'}, {'_updated': '2018-07-12T16:51:36.237512+00:00', 'enroll': None, 'max': None}, {'_updated': '2018-08-07T14:48:29.551876+00:00', 'enroll': '0', 'max': '999'}]",1,C,20161,Research,2016
0000105125,1.0,0000000709,ID,0,['Staff'],300,999,Academic Internship,394,True,False,"[{'_updated': '2016-04-25T21:43:45.553375+00:00', 'locations': [], 'status': 'O'}, {'_updated': '2018-07-12T16:51:36.238242+00:00', 'enroll': None, 'max': None}, {'_updated': '2018-08-07T14:48:29.552633+00:00', 'enroll': '0', 'max': '999'}]",1,C,20161,Research,2016
0000105126,1.0,0000000716,LATIN,0,['Staff'],200,999,Academic Internship,294,True,False,"[{'_updated': '2016-04-25T21:43:45.568085+00:00', 'locations': [], 'status': 'O'}, {'_updated': '2018-07-12T16:51:36.238977+00:00', 'enroll': None, 'max': None}, {'_updated': '2018-08-07T14:48:29.553385+00:00', 'enroll': '0', 'max': '999'}]",1,C,20161,Research,2016
0000105127,1.0,0000000725,LATIN,0,['Staff'],300,999,Academic Internship,394,True,False,"[{'_updated': '2016-04-25T21:43:45.569130+00:00', 'locations': [], 'status': 'O'}, {'_updated': '2018-07-12T16:51:36.239657+00:00', 'enroll': None, 'max': None}, {'_updated': '2018-08-07T14:48:29.554191+00:00', 'enroll': '0', 'max': '999'}]",1,C,20161,Research,2016
0000105128,1.0,0000000751,MATH,0,['Staff'],200,999,Academic Internship,294,True,False,"[{'_updated': '2016-04-25T21:43:45.570101+00:00', 'locations': [], 'status': 'O'}, {'_updated': '2018-07-12T16:51:36.240336+00:00', 'enroll': None, 'max': None}, {'_updated': '2018-08-07T14:48:29.555069+00:00', 'enroll': '0', 'max': '999'}]",1,C,20161,Research,2016
0000105129,1.0,0000000766,MATH,0,['Staff'],300,999,Academic Internship,394,True,False,"[{'_updated': '2016-04-25T21:43:45.571039+00:00', 'locations': [], 'status': 'O'}, {'_updated': '2018-07-12T16:51:36.241014+00:00', 'enroll': None, 'max': None}, {'_updated': '2018-08-07T14:48:29.555920+00:00', 'enroll': '0', 'max': '999'}]",1,C,20161,Research,2016
0000105130,1.0,0000000788,MGMT,1,['Sian E. Muir'],300,999,Academic Internship,394,True,False,"[{'_updated': '2016-04-25T21:43:45.572279+00:00', 'locations': [], 'status': 'O'}, {'_updated': '2016-09-28T06:12:30.035716+00:00', 'instructors': ['Staff']}, {'_updated': '2018-07-12T16:51:36.241691+00:00', 'enroll': None, 'max': None}, {'_updated': '2018-08-07T14:48:29.556750+00:00', 'enroll': '1', 'max': '999'}]",1,C,20161,Research,2016
0000105131,0.25,0000000795,MEDIA,1,['Linda Mokdad'],200,999,Academic Internship,294,True,False,"[{'_updated': '2016-04-25T21:43:45.573546+00:00', 'locations': [], 'status': 'O'}, {'_updated': '2016-09-28T06:12:30.036626+00:00', 'credits': 0.5, 'instructors': ['Staff']}, {'_updated': '2018-07-12T16:51:36.242382+00:00', 'enroll': None, 'max': None}, {'_updated': '2018-08-07T14:48:29.557604+00:00', 'enroll': '1', 'max': '999'}]",1,C,20161,Research,2016
0000105132,1.0,0000000846,MUSIC,0,['Staff'],200,999,Academic Internship,294,True,False,"[{'_updated': '2016-04-25T21:43:45.574849+00:00', 'locations': [], 'status': 'O'}, {'_updated': '2018-07-12T16:51:36.243129+00:00', 'enroll': None, 'max': None}, {'_updated': '2018-08-07T14:48:29.558464+00:00', 'enroll': '0', 'max': '999'}]",1,C,20161,Research,2016
0000105133,1.0,0000000865,MUSIC,0,['Staff'],300,999,Academic Internship,394,True,False,"[{'_updated': '2016-04-25T21:43:45.576121+00:00', 'locations': [], 'status': 'O'}, {'_updated': '2018-07-12T16:51:36.243806+00:00', 'enroll': None, 'max': None}, {'_updated': '2018-08-07T14:48:29.559289+00:00', 'enroll': '0', 'max': '999'}]",1,C,20161,Research,2016
0000105134,1.0,0000000931,NORW,0,['Staff'],200,999,Academic Internship,294,True,False,"[{'_updated': '2016-04-25T21:43:45.577292+00:00', 'locations': [], 'status': 'O'}, {'_updated': '2018-07-12T16:51:36.244479+00:00', 'enroll': None, 'max': None}, {'_updated': '2018-08-07T14:48:29.560123+00:00', 'enroll': '0', 'max': '999'}]",1,C,20161,Research,2016
0000105135,1.0,0000000936,NORW,0,['Staff'],300,999,Academic Internship,394,True,False,"[{'_updated': '2016-04-25T21:43:45.578451+00:00', 'locations': [], 'status': 'O'}, {'_updated': '2018-07-12T16:51:36.245151+00:00', 'enroll': None, 'max': None}, {'_updated': '2018-08-07T14:48:29.560946+00:00', 'enroll': '0', 'max': '999'}]",1,C,20161,Research,2016
0000105136,1.0,0000000942,NURS,"['Does not count toward the major. Students may choose a 1.00, 0.50, or 0.25 credit option']",0,['Staff'],200,999,Academic Internship,294,True,False,"[{'_updated': '2016-04-25T21:43:45.587641+00:00', 'locations': [], 'status': 'O'}, {'_updated': '2018-07-12T16:51:36.245838+00:00', 'enroll': None, 'max': None}, {'_updated': '2018-08-07T14:48:29.561795+00:00', 'enroll': '0', 'max': '999'}]",1,C,20161,Research,2016
0000105137,1.0,0000000961,NURS,"['Does not count toward the major. Students may choose a 1.00, 0.50, or 0.25 credit option.']",0,['Staff'],300,999,Academic Internship,394,True,False,"[{'_updated': '2016-04-25T21:43:45.588623+00:00', 'locations': [], 'status': 'O'}, {'_updated': '2018-07-12T16:51:36.246535+00:00', 'enroll': None, 'max': None}, {'_updated': '2018-08-07T14:48:29.562645+00:00', 'enroll': '0', 'max': '999'}]",1,C,20161,Research,2016
0000105138,1.0,0000000985,PHIL,0,['Staff'],200,999,Academic Internship,294,True,False,"[{'_updated': '2016-04-25T21:43:45.589799+00:00', 'locations': [], 'status': 'O'}, {'_updated': '2018-07-12T16:51:36.247259+00:00', 'enroll': None, 'max': None}, {'_updated': '2018-08-07T14:48:29.563480+00:00', 'enroll': '0', 'max': '999'}]",1,C,20161,Research,2016
0000105139,1.0,0000000992,PHIL,0,['Staff'],300,999,Academic Internship,394,True,False,"[{'_updated': '2016-04-25T21:43:45.590952+00:00', 'locations': [], 'status': 'O'}, {'_updated': '2018-07-12T16:51:36.247937+00:00', 'enroll': None, 'max': None}, {'_updated': '2018-08-07T14:48:29.564327+00:00', 'enroll': '0', 'max': '999'}]",1,C,20161,Research,2016
0000105140,0.5,0000001057,ESTH,1,['Cynthia Book'],200,999,Academic Internship,294,True,False,"[{'_updated': '2016-04-25T21:43:45.591861+00:00', 'locations': [], 'status': 'O'}, {'_updated': '2016-09-28T06:12:30.042049+00:00', 'credits': 1.0, 'instructors': ['Staff']}, {'_updated': '2018-07-12T16:51:36.248612+00:00', 'enroll': None, 'max': None}, {'_updated': '2018-08-07T14:48:29.565165+00:00', 'enroll': '1', 'max': '999'}]",1,C,20161,Research,2016
0000105141,1.0,0000001067,ESTH,0,['Staff'],300,999,Academic Internship,394,True,False,"[{'_updated': '2016-04-25T21:43:45.592735+00:00', 'locations': [], 'status': 'O'}, {'_updated': '2018-07-12T16:51:36.249530+00:00', 'enroll': None, 'max': None}, {'_updated': '2018-08-07T14:48:29.566032+00:00', 'enroll': '0', 'max': '999'}]",1,C,20161,Research,2016
0000105142,1.0,0000001090,PHYS,0,['Staff'],200,999,Academic Internship,294,True,False,"[{'_updated': '2016-04-25T21:43:45.593622+00:00', 'locations': [], 'status': 'O'}, {'_updated': '2018-07-12T16:51:36.250447+00:00', 'enroll': None, 'max': None}, {'_updated': '2018-08-07T14:48:29.566867+00:00', 'enroll': '0', 'max': '999'}]",1,C,20161,Research,2016
0000105143,1.0,0000001100,PHYS,0,['Staff'],300,999,Academic Internship,394,True,False,"[{'_updated': '2016-04-25T21:43:45.594487+00:00', 'locations': [], 'status': 'O'}, {'_updated': '2018-07-12T16:51:36.251284+00:00', 'enroll': None, 'max': None}, {'_updated': '2018-08-07T14:48:29.567870+00:00', 'enroll': '0', 'max': '999'}]",1,C,20161,Research,2016
